iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
2185,1.0,2185.0,35.40412,0.368,0.584,29.971
4371,1.0,4371.0,31.96758,0.368,0.584,16.168
6557,1.0,6557.0,30.45281,0.368,0.584,12.626
8743,1.0,8743.0,29.62254,0.368,0.584,11.418
10929,1.0,10929.0,29.10648,0.368,0.584,10.952
13115,1.0,13115.0,28.77018,0.368,0.584,10.746
15301,1.0,15301.0,28.51662,0.368,0.584,10.647
17487,1.0,17487.0,28.33025,0.368,0.584,10.601
19673,1.0,19673.0,28.17748,0.368,0.584,10.572
21859,1.0,21859.0,28.0582,0.368,0.584,10.561
24045,2.0,2176.0,26.98071,0.368,0.584,10.554
26231,2.0,4362.0,26.96759,0.368,0.584,10.551
28417,2.0,6548.0,26.96537,0.368,0.584,10.549
30603,2.0,8734.0,26.95987,0.368,0.584,10.547
32789,2.0,10920.0,26.94749,0.368,0.584,10.547
34975,2.0,13106.0,26.95808,0.368,0.584,10.547
37161,2.0,15292.0,26.95704,0.368,0.584,10.546
39347,2.0,17478.0,26.95744,0.368,0.584,10.546
41533,2.0,19664.0,26.95323,0.368,0.584,10.546
43719,2.0,21850.0,26.95512,0.368,0.584,10.546
45905,3.0,2167.0,26.96682,0.368,0.584,10.546
48091,3.0,4353.0,26.95736,0.368,0.584,10.546
50277,3.0,6539.0,26.95518,0.368,0.584,10.546
52463,3.0,8725.0,26.94693,0.368,0.584,10.546
54649,3.0,10911.0,26.94139,0.368,0.584,10.546
56835,3.0,13097.0,26.94827,0.368,0.584,10.546
59021,3.0,15283.0,26.94452,0.368,0.584,10.546
61207,3.0,17469.0,26.94379,0.368,0.584,10.546
63393,3.0,19655.0,26.94148,0.368,0.584,10.546
65579,3.0,21841.0,26.9439,0.368,0.584,10.546
67765,4.0,2158.0,26.95292,0.368,0.584,10.546
69951,4.0,4344.0,26.95208,0.368,0.584,10.546
72137,4.0,6530.0,26.95179,0.368,0.584,10.546
74323,4.0,8716.0,26.93768,0.368,0.584,10.546
76509,4.0,10902.0,26.92545,0.368,0.584,10.546
78695,4.0,13088.0,26.93237,0.368,0.584,10.546
80881,4.0,15274.0,26.92986,0.368,0.584,10.546
83067,4.0,17460.0,26.93166,0.368,0.584,10.546
85253,4.0,19646.0,26.92848,0.368,0.584,10.546
87439,4.0,21832.0,26.93091,0.368,0.584,10.546
89625,5.0,2149.0,26.94025,0.368,0.584,10.546
91811,5.0,4335.0,26.95559,0.368,0.584,10.546
93997,5.0,6521.0,26.94368,0.368,0.584,10.546
96183,5.0,8707.0,26.93707,0.368,0.584,10.546
98369,5.0,10893.0,26.93255,0.368,0.584,10.546
100555,5.0,13079.0,26.94488,0.368,0.584,10.546
102741,5.0,15265.0,26.9442,0.368,0.584,10.546
104927,5.0,17451.0,26.94262,0.368,0.584,10.546
107113,5.0,19637.0,26.93979,0.368,0.584,10.546
109299,5.0,21823.0,26.93783,0.368,0.584,10.546
111485,6.0,2140.0,26.9591,0.368,0.584,10.546
113671,6.0,4326.0,26.95989,0.368,0.584,10.546
115857,6.0,6512.0,26.95057,0.368,0.584,10.546
118043,6.0,8698.0,26.94598,0.368,0.584,10.546
120229,6.0,10884.0,26.93298,0.368,0.584,10.546
122415,6.0,13070.0,26.94448,0.368,0.584,10.546
124601,6.0,15256.0,26.94375,0.368,0.584,10.546
126787,6.0,17442.0,26.94573,0.368,0.584,10.546
128973,6.0,19628.0,26.93933,0.368,0.584,10.546
131159,6.0,21814.0,26.93824,0.368,0.584,10.546
133345,7.0,2131.0,26.94022,0.368,0.584,10.546
135531,7.0,4317.0,26.95854,0.368,0.584,10.546
137717,7.0,6503.0,26.95209,0.368,0.584,10.546
139903,7.0,8689.0,26.94074,0.368,0.584,10.546
142089,7.0,10875.0,26.93038,0.368,0.584,10.546
144275,7.0,13061.0,26.93379,0.368,0.584,10.546
146461,7.0,15247.0,26.93577,0.368,0.584,10.546
148647,7.0,17433.0,26.93689,0.368,0.584,10.546
150833,7.0,19619.0,26.93222,0.368,0.584,10.546
153019,7.0,21805.0,26.9339,0.368,0.584,10.546
155205,8.0,2122.0,26.94594,0.368,0.584,10.546
157391,8.0,4308.0,26.9428,0.368,0.584,10.546
159577,8.0,6494.0,26.93172,0.368,0.584,10.546
161763,8.0,8680.0,26.92035,0.368,0.584,10.546
163949,8.0,10866.0,26.91467,0.368,0.584,10.546
166135,8.0,13052.0,26.92732,0.368,0.584,10.546
168321,8.0,15238.0,26.92664,0.368,0.584,10.546
170507,8.0,17424.0,26.92902,0.368,0.584,10.546
172693,8.0,19610.0,26.92515,0.368,0.584,10.546
174879,8.0,21796.0,26.92603,0.368,0.584,10.546
