iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
2185,1.0,2185.0,25.66314,0.353,0.583,10.653
4371,1.0,4371.0,24.18201,0.252,0.554,10.575
6557,1.0,6557.0,23.29474,0.238,0.535,10.515
8743,1.0,8743.0,22.68422,0.235,0.522,10.481
10929,1.0,10929.0,22.20211,0.232,0.514,10.405
13115,1.0,13115.0,21.81417,0.227,0.511,10.362
15301,1.0,15301.0,21.48362,0.221,0.507,10.34
17487,1.0,17487.0,21.20174,0.219,0.504,10.327
19673,1.0,19673.0,20.9407,0.217,0.507,10.327
21859,1.0,21859.0,20.71184,0.216,0.5,10.284
24045,2.0,2176.0,18.41343,0.216,0.497,10.298
26231,2.0,4362.0,18.32122,0.214,0.496,10.273
28417,2.0,6548.0,18.21131,0.215,0.495,10.233
30603,2.0,8734.0,18.11498,0.214,0.494,10.256
32789,2.0,10920.0,18.02595,0.214,0.494,10.215
34975,2.0,13106.0,17.95267,0.213,0.494,10.201
37161,2.0,15292.0,17.87851,0.213,0.492,10.198
39347,2.0,17478.0,17.81218,0.213,0.491,10.208
41533,2.0,19664.0,17.74449,0.211,0.489,10.208
43719,2.0,21850.0,17.68383,0.211,0.489,10.17
45905,3.0,2167.0,17.04364,0.21,0.487,10.186
48091,3.0,4353.0,16.98961,0.208,0.488,10.167
50277,3.0,6539.0,16.95315,0.208,0.486,10.149
52463,3.0,8725.0,16.91686,0.208,0.485,10.153
54649,3.0,10911.0,16.87334,0.207,0.486,10.104
56835,3.0,13097.0,16.83693,0.206,0.486,10.105
59021,3.0,15283.0,16.80104,0.205,0.486,10.088
61207,3.0,17469.0,16.77333,0.204,0.485,10.1
63393,3.0,19655.0,16.73759,0.204,0.485,10.1
65579,3.0,21841.0,16.70582,0.204,0.485,10.08
67765,4.0,2158.0,16.40197,0.203,0.484,10.076
69951,4.0,4344.0,16.37647,0.202,0.484,10.057
72137,4.0,6530.0,16.34502,0.201,0.484,10.063
74323,4.0,8716.0,16.31371,0.202,0.484,10.053
76509,4.0,10902.0,16.28145,0.202,0.486,10.039
78695,4.0,13088.0,16.25512,0.201,0.484,10.008
80881,4.0,15274.0,16.22958,0.201,0.484,10.02
83067,4.0,17460.0,16.20956,0.2,0.482,10.001
85253,4.0,19646.0,16.18637,0.2,0.483,10.031
87439,4.0,21832.0,16.16625,0.199,0.485,10.008
89625,5.0,2149.0,15.93639,0.199,0.484,10.005
91811,5.0,4335.0,15.91192,0.198,0.483,9.991
93997,5.0,6521.0,15.89143,0.198,0.483,10.007
96183,5.0,8707.0,15.87567,0.198,0.484,10.004
98369,5.0,10893.0,15.85128,0.198,0.483,9.959
100555,5.0,13079.0,15.83145,0.198,0.483,9.956
102741,5.0,15265.0,15.80968,0.196,0.483,9.95
104927,5.0,17451.0,15.79208,0.196,0.483,9.968
107113,5.0,19637.0,15.77231,0.196,0.482,9.98
109299,5.0,21823.0,15.75379,0.195,0.483,9.951
111485,6.0,2140.0,15.57295,0.195,0.484,9.974
113671,6.0,4326.0,15.54389,0.195,0.482,9.924
115857,6.0,6512.0,15.51419,0.194,0.482,9.95
118043,6.0,8698.0,15.50407,0.194,0.482,9.945
120229,6.0,10884.0,15.4819,0.195,0.482,9.918
122415,6.0,13070.0,15.46601,0.194,0.482,9.904
124601,6.0,15256.0,15.45002,0.193,0.482,9.901
126787,6.0,17442.0,15.43788,0.193,0.482,9.93
128973,6.0,19628.0,15.41941,0.193,0.482,9.952
131159,6.0,21814.0,15.40311,0.193,0.483,9.919
133345,7.0,2131.0,15.24131,0.193,0.482,9.925
135531,7.0,4317.0,15.21882,0.192,0.481,9.904
137717,7.0,6503.0,15.20295,0.192,0.481,9.937
139903,7.0,8689.0,15.17986,0.192,0.481,9.925
142089,7.0,10875.0,15.1577,0.192,0.481,9.872
144275,7.0,13061.0,15.14714,0.191,0.481,9.868
146461,7.0,15247.0,15.12739,0.191,0.48,9.882
148647,7.0,17433.0,15.11921,0.191,0.48,9.908
150833,7.0,19619.0,15.09911,0.191,0.48,9.925
153019,7.0,21805.0,15.08678,0.191,0.481,9.901
155205,8.0,2122.0,14.92862,0.191,0.481,9.883
157391,8.0,4308.0,14.91924,0.19,0.479,9.885
159577,8.0,6494.0,14.90052,0.19,0.479,9.9
161763,8.0,8680.0,14.8792,0.19,0.479,9.885
163949,8.0,10866.0,14.85466,0.19,0.479,9.867
166135,8.0,13052.0,14.84716,0.19,0.479,9.835
168321,8.0,15238.0,14.83465,0.19,0.48,9.857
170507,8.0,17424.0,14.82297,0.189,0.479,9.875
172693,8.0,19610.0,14.81116,0.19,0.479,9.87
174879,8.0,21796.0,14.80068,0.19,0.478,9.836
177065,9.0,2113.0,14.69097,0.189,0.478,9.878
179251,9.0,4299.0,14.6553,0.189,0.477,9.847
181437,9.0,6485.0,14.64231,0.189,0.476,9.878
183623,9.0,8671.0,14.63248,0.189,0.479,9.856
185809,9.0,10857.0,14.61302,0.19,0.478,9.824
187995,9.0,13043.0,14.60475,0.189,0.477,9.809
190181,9.0,15229.0,14.58895,0.189,0.478,9.827
192367,9.0,17415.0,14.57829,0.189,0.476,9.827
194553,9.0,19601.0,14.56527,0.188,0.478,9.87
196739,9.0,21787.0,14.55753,0.188,0.476,9.857
198925,10.0,2104.0,14.4625,0.188,0.477,9.839
201111,10.0,4290.0,14.44022,0.189,0.476,9.835
203297,10.0,6476.0,14.41548,0.188,0.474,9.856
205483,10.0,8662.0,14.40083,0.188,0.474,9.833
207669,10.0,10848.0,14.38001,0.188,0.473,9.794
209855,10.0,13034.0,14.36665,0.189,0.474,9.823
212041,10.0,15220.0,14.35581,0.188,0.477,9.798
214227,10.0,17406.0,14.34976,0.188,0.473,9.84
216413,10.0,19592.0,14.33692,0.188,0.474,9.843
218599,10.0,21778.0,14.32821,0.188,0.472,9.823
220785,11.0,2095.0,14.19837,0.188,0.473,9.84
222971,11.0,4281.0,14.19203,0.188,0.472,9.814
225157,11.0,6467.0,14.18055,0.188,0.471,9.859
227343,11.0,8653.0,14.16615,0.187,0.474,9.86
229529,11.0,10839.0,14.15283,0.187,0.472,9.842
231715,11.0,13025.0,14.14717,0.187,0.473,9.809
233901,11.0,15211.0,14.13851,0.187,0.474,9.779
236087,11.0,17397.0,14.13306,0.187,0.471,9.815
238273,11.0,19583.0,14.12105,0.187,0.471,9.838
240459,11.0,21769.0,14.11322,0.187,0.471,9.807
242645,12.0,2086.0,14.00529,0.187,0.472,9.809
244831,12.0,4272.0,14.00328,0.187,0.471,9.812
247017,12.0,6458.0,13.9857,0.187,0.469,9.825
249203,12.0,8644.0,13.98049,0.187,0.469,9.837
251389,12.0,10830.0,13.96572,0.187,0.468,9.792
253575,12.0,13016.0,13.9619,0.187,0.469,9.763
255761,12.0,15202.0,13.9524,0.187,0.471,9.828
257947,12.0,17388.0,13.94507,0.187,0.469,9.802
260133,12.0,19574.0,13.93658,0.187,0.47,9.828
262319,12.0,21760.0,13.92838,0.187,0.469,9.793
264505,13.0,2077.0,13.86119,0.187,0.469,9.812
266691,13.0,4263.0,13.85616,0.187,0.469,9.81
268877,13.0,6449.0,13.85022,0.187,0.467,9.839
271063,13.0,8635.0,13.83658,0.187,0.467,9.842
273249,13.0,10821.0,13.82172,0.186,0.466,9.77
275435,13.0,13007.0,13.81486,0.187,0.468,9.753
277621,13.0,15193.0,13.80871,0.187,0.469,9.808
279807,13.0,17379.0,13.79605,0.187,0.466,9.8
