iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
2185,1.0,2185.0,30.69232,0.368,0.584,11.753
4371,1.0,4371.0,28.62629,0.368,0.583,11.327
6557,1.0,6557.0,27.84606,0.368,0.583,11.575
8743,1.0,8743.0,27.38445,0.368,0.584,11.883
10929,1.0,10929.0,27.04017,0.368,0.584,12.005
13115,1.0,13115.0,26.76441,0.367,0.584,12.006
15301,1.0,15301.0,26.50758,0.36,0.584,11.994
17487,1.0,17487.0,26.273,0.325,0.584,11.941
19673,1.0,19673.0,26.03819,0.282,0.584,11.852
21859,1.0,21859.0,25.81628,0.275,0.584,11.804
24045,2.0,2176.0,23.43784,0.272,0.584,11.746
26231,2.0,4362.0,23.29359,0.27,0.584,11.692
28417,2.0,6548.0,23.16379,0.269,0.584,11.645
30603,2.0,8734.0,23.03729,0.262,0.584,11.608
32789,2.0,10920.0,22.91367,0.256,0.584,11.588
34975,2.0,13106.0,22.82437,0.251,0.583,11.558
37161,2.0,15292.0,22.72929,0.244,0.583,11.527
39347,2.0,17478.0,22.6443,0.237,0.582,11.498
41533,2.0,19664.0,22.55947,0.235,0.582,11.445
43719,2.0,21850.0,22.48308,0.232,0.579,11.403
45905,3.0,2167.0,21.69488,0.228,0.577,11.34
48091,3.0,4353.0,21.65039,0.225,0.576,11.267
50277,3.0,6539.0,21.60782,0.222,0.571,11.189
52463,3.0,8725.0,21.55658,0.22,0.57,11.112
54649,3.0,10911.0,21.50666,0.22,0.567,11.038
56835,3.0,13097.0,21.47098,0.219,0.564,10.958
59021,3.0,15283.0,21.43247,0.219,0.562,10.885
61207,3.0,17469.0,21.40594,0.219,0.562,10.816
63393,3.0,19655.0,21.37034,0.219,0.559,10.746
65579,3.0,21841.0,21.34138,0.218,0.558,10.688
67765,4.0,2158.0,21.04102,0.219,0.557,10.63
69951,4.0,4344.0,21.02554,0.219,0.557,10.577
72137,4.0,6530.0,20.99961,0.219,0.555,10.529
74323,4.0,8716.0,20.9662,0.218,0.554,10.484
76509,4.0,10902.0,20.93731,0.219,0.555,10.442
78695,4.0,13088.0,20.92386,0.219,0.554,10.401
80881,4.0,15274.0,20.90254,0.219,0.553,10.364
83067,4.0,17460.0,20.89378,0.219,0.552,10.332
85253,4.0,19646.0,20.87235,0.219,0.551,10.302
87439,4.0,21832.0,20.85774,0.219,0.549,10.273
89625,5.0,2149.0,20.65501,0.219,0.549,10.248
91811,5.0,4335.0,20.65892,0.219,0.547,10.223
93997,5.0,6521.0,20.63821,0.219,0.546,10.203
96183,5.0,8707.0,20.62126,0.22,0.545,10.184
98369,5.0,10893.0,20.60078,0.22,0.544,10.166
100555,5.0,13079.0,20.59662,0.22,0.542,10.15
102741,5.0,15265.0,20.58117,0.22,0.54,10.135
104927,5.0,17451.0,20.57504,0.22,0.537,10.121
107113,5.0,19637.0,20.55549,0.22,0.536,10.11
109299,5.0,21823.0,20.54039,0.22,0.534,10.098
111485,6.0,2140.0,20.40104,0.221,0.532,10.088
