iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
2185,1.0,2185.0,33.40772,0.368,0.584,17.749
4371,1.0,4371.0,30.36426,0.368,0.584,11.323
6557,1.0,6557.0,29.23753,0.368,0.584,10.675
8743,1.0,8743.0,28.64407,0.368,0.584,10.567
10929,1.0,10929.0,28.27255,0.368,0.584,10.547
13115,1.0,13115.0,28.02905,0.368,0.584,10.542
15301,1.0,15301.0,27.83318,0.368,0.584,10.54
17487,1.0,17487.0,27.67757,0.368,0.584,10.543
19673,1.0,19673.0,27.53803,0.368,0.584,10.546
21859,1.0,21859.0,27.42375,0.368,0.584,10.552
24045,2.0,2176.0,26.28516,0.368,0.584,10.56
26231,2.0,4362.0,26.2345,0.368,0.584,10.57
28417,2.0,6548.0,26.19389,0.363,0.584,10.584
30603,2.0,8734.0,26.14634,0.354,0.584,10.599
32789,2.0,10920.0,26.09679,0.346,0.584,10.617
34975,2.0,13106.0,26.0697,0.339,0.584,10.641
37161,2.0,15292.0,26.03069,0.334,0.584,10.668
39347,2.0,17478.0,25.99149,0.329,0.584,10.704
41533,2.0,19664.0,25.94328,0.323,0.584,10.747
43719,2.0,21850.0,25.90204,0.318,0.584,10.801
45905,3.0,2167.0,25.45169,0.316,0.584,10.857
48091,3.0,4353.0,25.40054,0.314,0.584,10.911
50277,3.0,6539.0,25.33573,0.315,0.584,10.939
52463,3.0,8725.0,25.27165,0.316,0.584,10.938
54649,3.0,10911.0,25.20932,0.318,0.584,10.929
56835,3.0,13097.0,25.15748,0.32,0.584,10.908
59021,3.0,15283.0,25.09867,0.322,0.584,10.866
61207,3.0,17469.0,25.04099,0.324,0.584,10.784
63393,3.0,19655.0,24.97402,0.325,0.584,10.645
65579,3.0,21841.0,24.90589,0.325,0.584,10.521
67765,4.0,2158.0,24.08641,0.326,0.584,10.419
69951,4.0,4344.0,24.01657,0.326,0.584,10.361
72137,4.0,6530.0,23.93608,0.326,0.584,10.33
74323,4.0,8716.0,23.85403,0.326,0.584,10.318
76509,4.0,10902.0,23.76463,0.326,0.584,10.316
78695,4.0,13088.0,23.70139,0.326,0.584,10.321
80881,4.0,15274.0,23.63549,0.326,0.584,10.326
83067,4.0,17460.0,23.5804,0.326,0.584,10.333
85253,4.0,19646.0,23.52413,0.326,0.584,10.341
87439,4.0,21832.0,23.47696,0.325,0.584,10.352
89625,5.0,2149.0,22.94762,0.325,0.584,10.363
91811,5.0,4335.0,22.93297,0.325,0.584,10.374
93997,5.0,6521.0,22.89902,0.325,0.584,10.382
96183,5.0,8707.0,22.87105,0.325,0.584,10.389
98369,5.0,10893.0,22.83884,0.325,0.584,10.396
100555,5.0,13079.0,22.82382,0.325,0.584,10.402
102741,5.0,15265.0,22.79985,0.325,0.584,10.407
104927,5.0,17451.0,22.78075,0.325,0.584,10.412
107113,5.0,19637.0,22.75582,0.325,0.584,10.416
109299,5.0,21823.0,22.73379,0.325,0.584,10.421
111485,6.0,2140.0,22.49717,0.325,0.584,10.425
113671,6.0,4326.0,22.48881,0.325,0.584,10.43
115857,6.0,6512.0,22.46021,0.325,0.584,10.434
118043,6.0,8698.0,22.43915,0.325,0.584,10.437
120229,6.0,10884.0,22.40762,0.3,0.584,10.441
122415,6.0,13070.0,22.38818,0.301,0.584,10.443
124601,6.0,15256.0,22.36334,0.3,0.584,10.444
126787,6.0,17442.0,22.34494,0.3,0.584,10.445
128973,6.0,19628.0,22.31712,0.3,0.584,10.443
131159,6.0,21814.0,22.29539,0.3,0.584,10.443
133345,7.0,2131.0,22.06602,0.301,0.584,10.442
135531,7.0,4317.0,22.04899,0.301,0.584,10.441
137717,7.0,6503.0,22.03981,0.302,0.584,10.439
139903,7.0,8689.0,22.01893,0.303,0.584,10.437
142089,7.0,10875.0,21.99697,0.304,0.584,10.436
144275,7.0,13061.0,21.98646,0.305,0.584,10.435
146461,7.0,15247.0,21.97483,0.306,0.584,10.433
148647,7.0,17433.0,21.96822,0.306,0.584,10.431
150833,7.0,19619.0,21.95086,0.307,0.584,10.427
153019,7.0,21805.0,21.94166,0.308,0.584,10.426
155205,8.0,2122.0,21.81863,0.309,0.584,10.424
157391,8.0,4308.0,21.83908,0.309,0.584,10.423
159577,8.0,6494.0,21.82269,0.31,0.584,10.421
161763,8.0,8680.0,21.8102,0.31,0.584,10.419
163949,8.0,10866.0,21.7933,0.311,0.584,10.418
166135,8.0,13052.0,21.79433,0.311,0.584,10.417
168321,8.0,15238.0,21.78721,0.312,0.584,10.415
170507,8.0,17424.0,21.78842,0.312,0.584,10.413
172693,8.0,19610.0,21.7787,0.312,0.584,10.41
174879,8.0,21796.0,21.77641,0.313,0.584,10.41
177065,9.0,2113.0,21.75476,0.313,0.584,10.408
179251,9.0,4299.0,21.74622,0.313,0.584,10.407
181437,9.0,6485.0,21.7412,0.313,0.584,10.405
183623,9.0,8671.0,21.73554,0.314,0.583,10.404
185809,9.0,10857.0,21.72292,0.314,0.583,10.403
187995,9.0,13043.0,21.72179,0.314,0.583,10.402
190181,9.0,15229.0,21.71694,0.314,0.583,10.4
192367,9.0,17415.0,21.71846,0.314,0.583,10.399
194553,9.0,19601.0,21.71172,0.314,0.583,10.397
196739,9.0,21787.0,21.70881,0.315,0.583,10.396
198925,10.0,2104.0,21.70748,0.315,0.582,10.395
201111,10.0,4290.0,21.70206,0.315,0.582,10.394
203297,10.0,6476.0,21.69145,0.315,0.582,10.393
205483,10.0,8662.0,21.68425,0.315,0.582,10.392
207669,10.0,10848.0,21.67247,0.315,0.582,10.391
209855,10.0,13034.0,21.6715,0.315,0.582,10.391
212041,10.0,15220.0,21.6699,0.316,0.581,10.39
214227,10.0,17406.0,21.67017,0.316,0.581,10.389
216413,10.0,19592.0,21.66178,0.316,0.58,10.387
218599,10.0,21778.0,21.66121,0.316,0.58,10.387
220785,11.0,2095.0,21.61999,0.316,0.578,10.386
222971,11.0,4281.0,21.64317,0.316,0.578,10.386
225157,11.0,6467.0,21.64493,0.316,0.579,10.385
227343,11.0,8653.0,21.6378,0.316,0.578,10.385
229529,11.0,10839.0,21.62614,0.316,0.578,10.385
231715,11.0,13025.0,21.62936,0.316,0.575,10.385
233901,11.0,15211.0,21.62254,0.316,0.574,10.385
236087,11.0,17397.0,21.62813,0.316,0.575,10.385
238273,11.0,19583.0,21.62025,0.316,0.573,10.384
240459,11.0,21769.0,21.62058,0.316,0.574,10.385
242645,12.0,2086.0,21.63162,0.316,0.573,10.385
244831,12.0,4272.0,21.63878,0.316,0.571,10.385
247017,12.0,6458.0,21.64028,0.317,0.572,10.386
249203,12.0,8644.0,21.63198,0.317,0.572,10.386
251389,12.0,10830.0,21.61617,0.317,0.571,10.388
253575,12.0,13016.0,21.6132,0.317,0.571,10.39
255761,12.0,15202.0,21.61174,0.317,0.57,10.391
257947,12.0,17388.0,21.61234,0.317,0.571,10.391
260133,12.0,19574.0,21.60799,0.317,0.57,10.391
262319,12.0,21760.0,21.6072,0.317,0.569,10.394
264505,13.0,2077.0,21.57972,0.317,0.569,10.395
266691,13.0,4263.0,21.57846,0.317,0.569,10.397
268877,13.0,6449.0,21.57214,0.317,0.569,10.398
271063,13.0,8635.0,21.57098,0.317,0.569,10.401
273249,13.0,10821.0,21.56549,0.317,0.568,10.403
275435,13.0,13007.0,21.56767,0.317,0.567,10.407
277621,13.0,15193.0,21.56581,0.317,0.567,10.409
279807,13.0,17379.0,21.56884,0.317,0.566,10.411
281993,13.0,19565.0,21.56206,0.317,0.566,10.414
284179,13.0,21751.0,21.55824,0.317,0.565,10.419
286365,14.0,2068.0,21.51805,0.318,0.565,10.423
288551,14.0,4254.0,21.54239,0.318,0.564,10.428
290737,14.0,6440.0,21.53911,0.318,0.564,10.432
292923,14.0,8626.0,21.53335,0.318,0.563,10.436
295109,14.0,10812.0,21.52264,0.318,0.563,10.441
297295,14.0,12998.0,21.52166,0.318,0.562,10.448
299481,14.0,15184.0,21.51905,0.318,0.561,10.452
301667,14.0,17370.0,21.52286,0.318,0.561,10.458
303853,14.0,19556.0,21.5146,0.318,0.561,10.461
306039,14.0,21742.0,21.51318,0.318,0.561,10.466
308225,15.0,2059.0,21.48849,0.318,0.56,10.471
310411,15.0,4245.0,21.48707,0.318,0.558,10.477
312597,15.0,6431.0,21.48249,0.318,0.558,10.482
314783,15.0,8617.0,21.47904,0.318,0.557,10.486
316969,15.0,10803.0,21.46404,0.318,0.557,10.489
319155,15.0,12989.0,21.4636,0.318,0.556,10.493
321341,15.0,15175.0,21.45947,0.318,0.555,10.497
323527,15.0,17361.0,21.45751,0.319,0.555,10.502
325713,15.0,19547.0,21.44733,0.319,0.554,10.501
327899,15.0,21733.0,21.44166,0.319,0.554,10.503
330085,16.0,2050.0,21.39765,0.319,0.553,10.504
332271,16.0,4236.0,21.40451,0.318,0.553,10.505
334457,16.0,6422.0,21.39462,0.319,0.552,10.505
336643,16.0,8608.0,21.39252,0.319,0.552,10.506
338829,16.0,10794.0,21.37482,0.319,0.551,10.504
341015,16.0,12980.0,21.37497,0.319,0.551,10.506
343201,16.0,15166.0,21.37217,0.319,0.551,10.507
345387,16.0,17352.0,21.3714,0.319,0.551,10.507
347573,16.0,19538.0,21.36074,0.319,0.55,10.505
349759,16.0,21724.0,21.35747,0.319,0.55,10.505
351945,17.0,2041.0,21.29699,0.319,0.55,10.502
354131,17.0,4227.0,21.30022,0.319,0.549,10.502
356317,17.0,6413.0,21.30084,0.319,0.549,10.499
358503,17.0,8599.0,21.29523,0.319,0.549,10.499
360689,17.0,10785.0,21.28471,0.319,0.549,10.498
362875,17.0,12971.0,21.28653,0.319,0.548,10.498
365061,17.0,15157.0,21.28292,0.319,0.548,10.496
367247,17.0,17343.0,21.28406,0.319,0.547,10.495
369433,17.0,19529.0,21.27453,0.319,0.546,10.492
371619,17.0,21715.0,21.27287,0.319,0.546,10.491
373805,18.0,2032.0,21.25051,0.319,0.544,10.488
375991,18.0,4218.0,21.2587,0.319,0.543,10.488
378177,18.0,6404.0,21.24941,0.319,0.543,10.485
380363,18.0,8590.0,21.24158,0.319,0.542,10.484
382549,18.0,10776.0,21.22603,0.319,0.542,10.481
384735,18.0,12962.0,21.22536,0.319,0.541,10.479
386921,18.0,15148.0,21.21975,0.319,0.541,10.478
389107,18.0,17334.0,21.21485,0.319,0.54,10.476
391293,18.0,19520.0,21.20425,0.319,0.539,10.473
393479,18.0,21706.0,21.2006,0.319,0.538,10.472
