iteration,epoch,minibatch,8,16,32,64,128
249203,12,8644,0.224,0.207,0.207,0.191,0.187
251389,12,10830,0.224,0.207,0.208,0.192,0.187
253575,12,13016,0.224,0.207,0.207,0.191,0.187
255761,12,15202,0.224,0.207,0.208,0.191,0.187
257947,12,17388,0.224,0.207,0.207,0.191,0.187
260133,12,19574,0.224,0.207,0.208,0.19,0.187
262319,12,21760,0.224,0.207,0.207,0.19,0.187
264505,13,2077,0.224,0.207,0.207,0.19,0.187
266691,13,4263,0.224,0.207,0.207,0.19,0.187
268877,13,6449,0.224,0.207,0.207,0.19,0.187
271063,13,8635,0.224,0.207,0.207,0.19,0.187
273249,13,10821,0.224,0.207,0.207,0.19,0.186
275435,13,13007,0.223,0.207,0.207,0.19,0.187
277621,13,15193,0.224,0.207,0.207,0.19,0.187
279807,13,17379,0.224,0.207,0.207,0.19,0.187
281993,13,19565,0.224,0.207,0.207,0.19,0.187
284179,13,21751,0.224,0.207,0.207,0.19,0.187
286365,14,2068,0.224,0.206,0.207,0.189,0.187
288551,14,4254,0.224,0.206,0.207,0.189,0.187
290737,14,6440,0.224,0.206,0.207,0.189,0.186
292923,14,8626,0.224,0.206,0.206,0.189,0.186
295109,14,10812,0.224,0.206,0.206,0.19,0.187
297295,14,12998,0.224,0.206,0.206,0.189,0.186
299481,14,15184,0.224,0.206,0.207,0.189,0.186
301667,14,17370,0.224,0.206,0.206,0.189,0.187
303853,14,19556,0.224,0.206,0.206,0.188,0.187
306039,14,21742,0.224,0.206,0.206,0.189,0.187
308225,15,2059,0.224,0.206,0.206,0.188,0.187
310411,15,4245,0.224,0.206,0.206,0.189,0.186
312597,15,6431,0.224,0.206,0.206,0.189,0.187
314783,15,8617,0.224,0.206,0.206,0.189,0.186
316969,15,10803,0.223,0.206,0.206,0.189,0.186
319155,15,12989,0.223,0.206,0.206,0.189,0.186
321341,15,15175,0.223,0.206,0.206,0.188,0.186
323527,15,17361,0.223,0.206,0.206,0.188,0.186
325713,15,19547,0.223,0.206,0.206,0.188,0.186
327899,15,21733,0.223,0.206,0.206,0.188,0.186
330085,16,2050,0.223,0.206,0.206,0.188,0.186
332271,16,4236,0.223,0.206,0.206,0.188,0.186
334457,16,6422,0.223,0.206,0.206,0.188,0.186
336643,16,8608,0.223,0.206,0.206,0.188,0.186
338829,16,10794,0.223,0.206,0.205,0.188,0.186
341015,16,12980,0.223,0.206,0.205,0.188,0.186
343201,16,15166,0.223,0.206,0.205,0.188,0.186
345387,16,17352,0.222,0.206,0.205,0.188,0.186
347573,16,19538,0.222,0.206,0.205,0.187,0.186
349759,16,21724,0.222,0.206,0.205,0.188,0.186
351945,17,2041,0.222,0.206,0.205,0.188,0.186
354131,17,4227,0.223,0.206,0.205,0.188,0.186
356317,17,6413,0.223,0.206,0.205,0.188,0.186
358503,17,8599,0.223,0.206,0.204,0.187,0.186
360689,17,10785,0.223,0.206,0.204,0.188,0.186
362875,17,12971,0.223,0.206,0.204,0.187,0.186
365061,17,15157,0.222,0.206,0.203,0.188,0.186
367247,17,17343,0.222,0.206,0.203,0.187,0.186
369433,17,19529,0.222,0.206,0.203,0.188,0.186
371619,17,21715,0.222,0.206,0.203,0.187,0.186
373805,18,2032,0.222,0.206,0.202,0.187,0.186
375991,18,4218,0.222,0.206,0.203,0.187,0.186
378177,18,6404,0.222,0.206,0.202,0.187,0.186
380363,18,8590,0.222,0.206,0.202,0.187,0.186
382549,18,10776,0.222,0.206,0.201,0.187,0.186
384735,18,12962,0.222,0.206,0.201,0.187,0.186
386921,18,15148,0.222,0.206,0.201,0.187,0.186
389107,18,17334,0.222,0.206,0.201,0.187,0.186
391293,18,19520,0.222,0.206,0.201,0.187,0.186
393479,18,21706,0.222,0.206,0.2,0.187,0.186
395665,19,2023,0.222,0.206,0.2,0.187,0.186
397851,19,4209,0.222,0.206,0.2,0.187,0.186
400037,19,6395,0.222,0.206,0.2,0.187,0.186
402223,19,8581,0.222,0.206,0.2,0.187,0.186
404409,19,10767,0.222,0.206,0.2,0.187,0.186
406595,19,12953,0.222,0.206,0.199,0.187,0.186
408781,19,15139,0.221,0.206,0.199,0.187,0.186
410967,19,17325,0.221,0.206,0.199,0.187,0.186
413153,19,19511,0.221,0.206,0.198,0.187,0.186
415339,19,21697,0.221,0.206,0.198,0.187,0.186
417525,20,2014,0.221,0.206,0.198,0.187,0.186
419711,20,4200,0.221,0.206,0.198,0.187,0.186
421897,20,6386,0.221,0.206,0.198,0.186,0.186
424083,20,8572,0.221,0.206,0.197,0.186,0.186
426269,20,10758,0.221,0.206,0.197,0.187,0.186
428455,20,12944,0.221,0.206,0.197,0.186,0.186
430641,20,15130,0.221,0.206,0.197,0.187,0.186
432827,20,17316,0.221,0.206,0.197,0.187,0.186
435013,20,19502,0.221,0.206,0.196,0.186,0.186
437199,20,21688,0.221,0.206,0.196,0.187,0.186
439385,21,2005,0.221,0.206,0.196,0.187,0.186
441571,21,4191,0.22,0.206,0.196,0.187,0.186
443757,21,6377,0.221,0.206,0.196,0.186,0.186
445943,21,8563,0.221,0.206,0.196,0.186,0.186
448129,21,10749,0.221,0.206,0.196,0.187,0.186
450315,21,12935,0.221,0.206,0.196,0.187,0.186
452501,21,15121,0.221,0.206,0.196,0.187,0.186
454687,21,17307,0.221,0.206,0.196,0.187,0.186
456873,21,19493,0.221,0.206,0.195,0.187,0.186
459059,21,21679,0.221,0.206,0.195,0.187,0.186
461245,22,1996,0.22,0.205,0.195,0.187,0.186
463431,22,4182,0.218,0.206,0.195,0.186,0.186
465617,22,6368,0.219,0.206,0.195,0.187,0.186
467803,22,8554,0.22,0.206,0.194,0.187,0.186
469989,22,10740,0.219,0.205,0.194,0.187,0.186
472175,22,12926,0.218,0.206,0.194,0.187,0.186
474361,22,15112,0.219,0.206,0.194,0.187,0.186
476547,22,17298,0.218,0.206,0.194,0.187,0.186
478733,22,19484,0.218,0.206,0.194,0.187,0.186
480919,22,21670,0.218,0.206,0.194,0.186,0.186
483105,23,1987,0.218,0.205,0.193,0.187,0.186
485291,23,4173,0.217,0.205,0.193,0.187,0.185
487477,23,6359,0.217,0.205,0.193,0.186,0.185
489663,23,8545,0.218,0.205,0.192,0.187,0.185
491849,23,10731,0.218,0.205,0.192,0.187,0.185
494035,23,12917,0.217,0.205,0.192,0.186,0.186
496221,23,15103,0.218,0.205,0.192,0.187,0.186
498407,23,17289,0.218,0.205,0.192,0.187,0.186
500593,23,19475,0.217,0.205,0.192,0.186,0.185
502779,23,21661,0.217,0.205,0.192,0.186,0.186
504965,24,1978,0.218,0.205,0.191,0.187,0.185
507151,24,4164,0.218,0.205,0.191,0.186,0.185
509337,24,6350,0.218,0.205,0.19,0.186,0.186
511523,24,8536,0.218,0.205,0.19,0.186,0.186
513709,24,10722,0.218,0.205,0.191,0.186,0.185
515895,24,12908,0.218,0.205,0.191,0.186,0.185
518081,24,15094,0.218,0.205,0.191,0.186,0.185
520267,24,17280,0.218,0.205,0.19,0.186,0.186
522453,24,19466,0.218,0.205,0.19,0.186,0.185
524639,24,21652,0.218,0.205,0.19,0.186,0.185
526825,25,1969,0.218,0.205,0.19,0.186,0.185
529011,25,4155,0.218,0.204,0.189,0.186,0.185
531197,25,6341,0.218,0.204,0.189,0.186,0.185
533383,25,8527,0.218,0.204,0.189,0.186,0.185
535569,25,10713,0.218,0.204,0.189,0.186,0.186
537755,25,12899,0.218,0.204,0.189,0.186,0.185
