iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
240459,11.0,21769.0,17.09219,0.208,0.513,9.705
242645,12.0,2086.0,17.02282,0.208,0.512,9.698
244831,12.0,4272.0,17.02699,0.208,0.513,9.691
247017,12.0,6458.0,17.02125,0.207,0.513,9.686
249203,12.0,8644.0,17.0074,0.207,0.513,9.678
251389,12.0,10830.0,16.99963,0.207,0.512,9.671
253575,12.0,13016.0,16.99658,0.207,0.512,9.664
255761,12.0,15202.0,16.99164,0.207,0.512,9.657
257947,12.0,17388.0,16.99021,0.207,0.513,9.651
260133,12.0,19574.0,16.98316,0.207,0.513,9.646
262319,12.0,21760.0,16.97903,0.207,0.513,9.641
264505,13.0,2077.0,16.90181,0.207,0.512,9.634
266691,13.0,4263.0,16.90485,0.206,0.513,9.628
268877,13.0,6449.0,16.89696,0.206,0.513,9.625
271063,13.0,8635.0,16.88571,0.206,0.512,9.62
273249,13.0,10821.0,16.87723,0.207,0.512,9.614
275435,13.0,13007.0,16.86601,0.206,0.513,9.608
277621,13.0,15193.0,16.85905,0.206,0.51,9.604
279807,13.0,17379.0,16.86135,0.206,0.513,9.599
281993,13.0,19565.0,16.85168,0.206,0.513,9.595
284179,13.0,21751.0,16.84919,0.206,0.511,9.589
286365,14.0,2068.0,16.78299,0.206,0.513,9.584
288551,14.0,4254.0,16.79036,0.206,0.509,9.58
290737,14.0,6440.0,16.78124,0.206,0.511,9.578
292923,14.0,8626.0,16.77628,0.206,0.511,9.573
295109,14.0,10812.0,16.7699,0.206,0.511,9.569
297295,14.0,12998.0,16.76473,0.206,0.511,9.563
299481,14.0,15184.0,16.75513,0.206,0.509,9.558
301667,14.0,17370.0,16.7547,0.206,0.511,9.555
303853,14.0,19556.0,16.74492,0.206,0.511,9.553
306039,14.0,21742.0,16.7461,0.206,0.511,9.548
308225,15.0,2059.0,16.6638,0.206,0.511,9.545
310411,15.0,4245.0,16.68071,0.206,0.507,9.541
312597,15.0,6431.0,16.67005,0.206,0.511,9.539
314783,15.0,8617.0,16.66588,0.206,0.508,9.535
316969,15.0,10803.0,16.66379,0.206,0.511,9.532
319155,15.0,12989.0,16.66245,0.206,0.509,9.528
321341,15.0,15175.0,16.65821,0.206,0.507,9.525
323527,15.0,17361.0,16.65663,0.206,0.509,9.523
325713,15.0,19547.0,16.64733,0.206,0.51,9.522
327899,15.0,21733.0,16.64525,0.206,0.51,9.518
330085,16.0,2050.0,16.60964,0.206,0.51,9.516
332271,16.0,4236.0,16.6058,0.206,0.505,9.513
334457,16.0,6422.0,16.5956,0.206,0.508,9.511
336643,16.0,8608.0,16.59279,0.206,0.506,9.51
338829,16.0,10794.0,16.57735,0.206,0.508,9.506
341015,16.0,12980.0,16.57685,0.206,0.507,9.503
343201,16.0,15166.0,16.57098,0.206,0.505,9.5
345387,16.0,17352.0,16.56851,0.206,0.506,9.498
347573,16.0,19538.0,16.56366,0.206,0.507,9.498
349759,16.0,21724.0,16.56231,0.206,0.507,9.493
351945,17.0,2041.0,16.50067,0.206,0.507,9.491
354131,17.0,4227.0,16.50546,0.206,0.505,9.488
356317,17.0,6413.0,16.49618,0.206,0.509,9.488
358503,17.0,8599.0,16.49043,0.206,0.505,9.486
360689,17.0,10785.0,16.47887,0.206,0.508,9.484
362875,17.0,12971.0,16.47578,0.206,0.508,9.482
365061,17.0,15157.0,16.47027,0.206,0.504,9.48
367247,17.0,17343.0,16.46933,0.206,0.505,9.477
