iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
240459,11.0,21769.0,14.33769,0.192,0.477,9.625
242645,12.0,2086.0,14.24615,0.191,0.478,9.635
244831,12.0,4272.0,14.23917,0.192,0.476,9.633
247017,12.0,6458.0,14.21905,0.191,0.476,9.636
249203,12.0,8644.0,14.20908,0.191,0.475,9.633
251389,12.0,10830.0,14.19641,0.192,0.474,9.614
253575,12.0,13016.0,14.18391,0.191,0.476,9.6
255761,12.0,15202.0,14.17604,0.191,0.476,9.6
257947,12.0,17388.0,14.17103,0.191,0.474,9.606
260133,12.0,19574.0,14.15904,0.19,0.474,9.634
262319,12.0,21760.0,14.15127,0.19,0.474,9.603
264505,13.0,2077.0,14.06526,0.19,0.474,9.617
266691,13.0,4263.0,14.04972,0.19,0.473,9.603
268877,13.0,6449.0,14.04511,0.19,0.473,9.613
271063,13.0,8635.0,14.03241,0.19,0.473,9.622
273249,13.0,10821.0,14.0119,0.19,0.473,9.604
275435,13.0,13007.0,14.00271,0.19,0.472,9.584
277621,13.0,15193.0,13.99906,0.19,0.473,9.584
279807,13.0,17379.0,13.99229,0.19,0.471,9.599
281993,13.0,19565.0,13.98394,0.19,0.471,9.611
284179,13.0,21751.0,13.97997,0.19,0.471,9.589
286365,14.0,2068.0,13.91789,0.189,0.473,9.594
288551,14.0,4254.0,13.9044,0.189,0.472,9.576
290737,14.0,6440.0,13.89126,0.189,0.472,9.59
292923,14.0,8626.0,13.88323,0.189,0.472,9.573
295109,14.0,10812.0,13.86821,0.19,0.471,9.569
297295,14.0,12998.0,13.85531,0.189,0.47,9.554
299481,14.0,15184.0,13.8441,0.189,0.471,9.558
301667,14.0,17370.0,13.83989,0.189,0.469,9.565
303853,14.0,19556.0,13.83116,0.188,0.47,9.593
306039,14.0,21742.0,13.82327,0.189,0.469,9.567
308225,15.0,2059.0,13.74206,0.188,0.47,9.578
310411,15.0,4245.0,13.74455,0.189,0.468,9.565
312597,15.0,6431.0,13.72904,0.189,0.469,9.568
314783,15.0,8617.0,13.72607,0.189,0.47,9.565
316969,15.0,10803.0,13.716,0.189,0.468,9.544
319155,15.0,12989.0,13.70743,0.189,0.467,9.543
321341,15.0,15175.0,13.70078,0.188,0.467,9.547
323527,15.0,17361.0,13.69708,0.188,0.468,9.543
325713,15.0,19547.0,13.6859,0.188,0.466,9.577
327899,15.0,21733.0,13.6801,0.188,0.467,9.546
330085,16.0,2050.0,13.63427,0.188,0.467,9.559
332271,16.0,4236.0,13.63186,0.188,0.466,9.551
334457,16.0,6422.0,13.62491,0.188,0.466,9.548
336643,16.0,8608.0,13.6182,0.188,0.466,9.559
338829,16.0,10794.0,13.60005,0.188,0.466,9.511
341015,16.0,12980.0,13.59248,0.188,0.467,9.543
343201,16.0,15166.0,13.58431,0.188,0.464,9.527
345387,16.0,17352.0,13.5795,0.188,0.465,9.531
347573,16.0,19538.0,13.57083,0.187,0.464,9.584
349759,16.0,21724.0,13.56551,0.188,0.464,9.528
351945,17.0,2041.0,13.49131,0.188,0.465,9.547
354131,17.0,4227.0,13.49257,0.188,0.464,9.533
356317,17.0,6413.0,13.4838,0.188,0.464,9.543
358503,17.0,8599.0,13.47895,0.187,0.464,9.538
360689,17.0,10785.0,13.46921,0.188,0.464,9.525
362875,17.0,12971.0,13.46586,0.187,0.464,9.509
365061,17.0,15157.0,13.46175,0.188,0.464,9.524
367247,17.0,17343.0,13.45981,0.187,0.463,9.516
369433,17.0,19529.0,13.45228,0.188,0.463,9.547
371619,17.0,21715.0,13.44717,0.187,0.464,9.513
373805,18.0,2032.0,13.39614,0.187,0.462,9.537
375991,18.0,4218.0,13.38607,0.187,0.463,9.514
378177,18.0,6404.0,13.37517,0.187,0.462,9.511
380363,18.0,8590.0,13.37337,0.187,0.463,9.509
382549,18.0,10776.0,13.36209,0.187,0.462,9.494
384735,18.0,12962.0,13.35529,0.187,0.461,9.499
386921,18.0,15148.0,13.35313,0.187,0.462,9.501
389107,18.0,17334.0,13.35089,0.187,0.461,9.512
