iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
2185,1.0,2185.0,27.66558,0.368,0.59,10.505
4371,1.0,4371.0,26.06268,0.337,0.589,10.471
6557,1.0,6557.0,25.08026,0.287,0.587,10.463
8743,1.0,8743.0,24.38134,0.267,0.577,10.45
10929,1.0,10929.0,23.86055,0.251,0.573,10.42
13115,1.0,13115.0,23.45907,0.237,0.571,10.397
15301,1.0,15301.0,23.12796,0.236,0.568,10.386
17487,1.0,17487.0,22.85363,0.236,0.568,10.383
19673,1.0,19673.0,22.60529,0.235,0.566,10.382
21859,1.0,21859.0,22.3945,0.233,0.562,10.383
24045,2.0,2176.0,20.25251,0.231,0.556,10.384
26231,2.0,4362.0,20.1751,0.229,0.554,10.386
28417,2.0,6548.0,20.09595,0.227,0.548,10.385
30603,2.0,8734.0,20.01768,0.225,0.543,10.389
32789,2.0,10920.0,19.93255,0.225,0.541,10.392
34975,2.0,13106.0,19.86814,0.222,0.534,10.387
37161,2.0,15292.0,19.7946,0.222,0.532,10.381
39347,2.0,17478.0,19.73111,0.221,0.524,10.377
41533,2.0,19664.0,19.65939,0.221,0.525,10.377
43719,2.0,21850.0,19.59254,0.22,0.519,10.37
45905,3.0,2167.0,18.88159,0.219,0.516,10.363
48091,3.0,4353.0,18.83473,0.218,0.511,10.354
50277,3.0,6539.0,18.77602,0.217,0.513,10.349
52463,3.0,8725.0,18.70718,0.217,0.51,10.346
54649,3.0,10911.0,18.64059,0.217,0.507,10.338
56835,3.0,13097.0,18.5872,0.216,0.505,10.33
59021,3.0,15283.0,18.53056,0.216,0.509,10.32
61207,3.0,17469.0,18.48122,0.216,0.505,10.312
63393,3.0,19655.0,18.42495,0.216,0.504,10.307
65579,3.0,21841.0,18.37694,0.216,0.502,10.297
67765,4.0,2158.0,17.85744,0.216,0.503,10.285
69951,4.0,4344.0,17.81348,0.216,0.502,10.273
72137,4.0,6530.0,17.76556,0.216,0.502,10.263
74323,4.0,8716.0,17.71471,0.216,0.503,10.252
76509,4.0,10902.0,17.67043,0.216,0.502,10.24
78695,4.0,13088.0,17.63866,0.216,0.501,10.229
80881,4.0,15274.0,17.59758,0.216,0.504,10.215
83067,4.0,17460.0,17.56532,0.216,0.501,10.201
85253,4.0,19646.0,17.52609,0.216,0.501,10.193
87439,4.0,21832.0,17.49341,0.216,0.5,10.178
89625,5.0,2149.0,17.15383,0.216,0.502,10.163
91811,5.0,4335.0,17.11497,0.216,0.503,10.151
93997,5.0,6521.0,17.08139,0.216,0.501,10.136
96183,5.0,8707.0,17.04793,0.215,0.501,10.123
98369,5.0,10893.0,17.01636,0.216,0.5,10.106
100555,5.0,13079.0,16.99123,0.215,0.501,10.092
102741,5.0,15265.0,16.96364,0.215,0.502,10.074
104927,5.0,17451.0,16.94206,0.215,0.501,10.062
