iteration,epoch,minibatch,cost,mode_prime,trip_purp,trip_km
2185,1.0,2185.0,29.31339,0.368,0.596,10.963
4371,1.0,4371.0,27.44306,0.367,0.59,10.782
6557,1.0,6557.0,26.52312,0.362,0.586,10.826
8743,1.0,8743.0,25.85801,0.343,0.584,10.854
10929,1.0,10929.0,25.32084,0.3,0.58,10.877
13115,1.0,13115.0,24.89391,0.262,0.573,10.896
15301,1.0,15301.0,24.52496,0.258,0.552,10.894
17487,1.0,17487.0,24.21476,0.261,0.542,10.892
19673,1.0,19673.0,23.93388,0.27,0.536,10.886
21859,1.0,21859.0,23.69494,0.261,0.531,10.907
24045,2.0,2176.0,21.29895,0.265,0.525,10.914
26231,2.0,4362.0,21.23013,0.26,0.522,10.928
28417,2.0,6548.0,21.14629,0.258,0.522,10.934
30603,2.0,8734.0,21.06456,0.253,0.522,10.938
32789,2.0,10920.0,20.97961,0.245,0.522,10.945
34975,2.0,13106.0,20.92078,0.242,0.522,10.936
37161,2.0,15292.0,20.85776,0.232,0.524,10.925
39347,2.0,17478.0,20.80226,0.23,0.524,10.908
41533,2.0,19664.0,20.74168,0.229,0.524,10.881
43719,2.0,21850.0,20.68717,0.228,0.523,10.861
45905,3.0,2167.0,20.11695,0.228,0.521,10.826
48091,3.0,4353.0,20.0849,0.224,0.52,10.795
50277,3.0,6539.0,20.04032,0.226,0.519,10.756
52463,3.0,8725.0,19.99142,0.223,0.517,10.72
54649,3.0,10911.0,19.94732,0.221,0.516,10.683
56835,3.0,13097.0,19.91355,0.221,0.515,10.643
59021,3.0,15283.0,19.87657,0.22,0.514,10.604
61207,3.0,17469.0,19.84959,0.219,0.514,10.568
63393,3.0,19655.0,19.81371,0.219,0.513,10.531
65579,3.0,21841.0,19.783,0.22,0.513,10.498
67765,4.0,2158.0,19.42675,0.219,0.513,10.465
69951,4.0,4344.0,19.41879,0.219,0.512,10.433
72137,4.0,6530.0,19.39666,0.219,0.512,10.406
74323,4.0,8716.0,19.36141,0.219,0.512,10.376
76509,4.0,10902.0,19.32351,0.219,0.513,10.352
78695,4.0,13088.0,19.3039,0.219,0.512,10.325
80881,4.0,15274.0,19.273,0.219,0.512,10.301
83067,4.0,17460.0,19.25637,0.219,0.511,10.277
85253,4.0,19646.0,19.22825,0.219,0.512,10.258
87439,4.0,21832.0,19.20621,0.219,0.511,10.239
89625,5.0,2149.0,18.91298,0.219,0.512,10.221
91811,5.0,4335.0,18.91543,0.219,0.511,10.201
93997,5.0,6521.0,18.89149,0.219,0.513,10.186
96183,5.0,8707.0,18.87421,0.219,0.511,10.175
98369,5.0,10893.0,18.84954,0.219,0.511,10.163
100555,5.0,13079.0,18.83269,0.219,0.512,10.15
102741,5.0,15265.0,18.8117,0.218,0.511,10.138
104927,5.0,17451.0,18.79767,0.218,0.51,10.127
107113,5.0,19637.0,18.77439,0.218,0.511,10.123
109299,5.0,21823.0,18.75539,0.219,0.51,10.116
111485,6.0,2140.0,18.53498,0.217,0.511,10.109
113671,6.0,4326.0,18.51493,0.217,0.509,10.103
